1 1 0:1.1446 1:2 2:35 3:0 4:206.0 5:0 6:3 7:5.0 8:2 9:40.0 10:0.0 11:8.1612 12:18 13:1.0 14:1.1446 15:40 16:337.0
1 1 0:1.1591 1:4 2:100 3:3 4:80.1 5:4 6:0 7:2.0 8:2 9:50.0 10:0.0 11:0.0 12:0 13:0.6667 14:1.4791 15:-10 16:79.0
1 1 0:0.6442 1:2 2:102 3:1 4:46.0 5:2 6:0 7:1.0 8:0 9:43.8 10:0.0 11:0.0 12:0 13:1.0 14:0.6442 15:-10 16:49.9
1 1 0:1.2231 1:3 2:62 3:2 4:54.0 5:3 6:1 7:2.0 8:0 9:43.8 10:0.7407 11:0.7407 12:2 13:0.6 14:1.8001 15:-10 16:45.0
1 1 0:0.7754 1:3 2:119 3:2 4:111.7 5:3 6:0 7:1.0 8:1 9:10.0 10:4.7526 11:4.7526 12:12 13:1.0 14:0.7754 15:-10 16:58.0
1 1 0:0.7586 1:2 2:66 3:0 4:34.5 5:2 6:3 7:6.0 8:1 9:50.0 10:0.9396 11:0.9396 12:2 13:1.0 14:0.7586 15:-10 16:59.0
1 1 0:0.605 1:2 2:120 3:1 4:43.8 5:2 6:0 7:1.0 8:0 9:43.8 10:0.0 11:0.0 12:0 13:1.0 14:0.605 15:-10 16:48.0
1 1 0:2.8378 1:4 2:30 3:0 4:93.3 5:0 6:21 7:40.0 8:3 9:40.0 10:0.0 11:36.6658 12:80 13:0.8 14:2.9366 15:-10 16:48.0
1 1 0:1.1761 1:3 2:43 3:2 4:89.3 5:3 6:0 7:1.0 8:2 9:50.0 10:1.6438 11:1.6438 12:4 13:1.0 14:1.1761 15:-10 16:158.0
1 1 0:0.7461 1:2 2:100 3:1 4:23.0 5:2 6:0 7:1.0 8:1 9:50.0 10:0.0 11:0.0 12:0 13:0.5 14:0.9701 15:-10 16:26.0
1 1 0:1.7247 1:4 2:18 3:0 4:142.5 5:1 6:3 7:8.0 8:1 9:50.0 10:0.0 11:0.0 12:0 13:1.0 14:1.7247 15:-10 16:69.9
1 1 0:1.0842 1:2 2:6 3:1 4:18.5 5:2 6:3 7:4.0 8:1 9:10.0 10:14.6212 11:15.5036 12:18 13:0.5 14:1.3008 15:10 16:3.0
1 1 0:1.7454 1:4 2:28 3:0 4:133.5 5:4 6:39 7:72.0 8:3 9:36.666666666666664 10:36.6652 11:36.6652 12:71 13:0.6667 14:1.9696 15:-10 16:198.0
1 -1 0:1.6626 1:4 2:95 3:0 4:22.6 5:1 6:0 7:1.0 8:2 9:50.0 10:0.0 11:0.0 12:0 13:0.8 14:1.8111 15:-10 16:19.8
1 -1 0:0.8165 1:2 2:98 3:1 4:69.0 5:1 6:1 7:3.0 8:0 9:43.8 10:0.0 11:20.1117 12:38 13:0.5 14:1.3487 15:-10 16:69.0
1 1 0:0.9501 1:2 2:22 3:1 4:95.5 5:2 6:2 7:4.0 8:1 9:40.0 10:4.2198 11:4.2198 12:8 13:0.4 14:1.2654 15:-10 16:149.0
1 1 0:0.9524 1:3 2:95 3:2 4:39.8 5:3 6:36 7:65.0 8:3 9:50.0 10:4.7143 11:4.7143 12:11 13:1.0 14:0.9524 15:50 16:25.0
1 -1 0:0.8665 1:2 2:64 3:1 4:99.9 5:2 6:3 7:6.0 8:1 9:50.0 10:13.844 11:105.0295 12:183 13:1.0 14:0.8665 15:-10 16:81.8
1 1 0:1.3873 1:3 2:1 3:1 4:20.3 5:2 6:0 7:1.0 8:0 9:43.8 10:3.8393 11:3.8393 12:5 13:1.0 14:1.3873 15:-10 16:16.0
1 1 0:1.6843 1:4 2:62 3:1 4:70.5 5:3 6:1 7:3.0 8:0 9:43.8 10:1.7143 11:1.7143 12:2 13:0.8 14:2.0205 15:-10 16:58.0
1 1 0:1.0659 1:3 2:90 3:2 4:98.7 5:3 6:0 7:2.0 8:0 9:43.8 10:0.0 11:0.0 12:0 13:0.75 14:1.36 15:-10 16:198.0
1 -1 0:1.3833 1:2 2:53 3:2 4:45.0 5:2 6:2 7:5.0 8:0 9:43.8 10:15.2942 11:15.2942 12:42 13:1.0 14:1.3833 15:-10 16:80.0
1 1 0:0.9531 1:3 2:89 3:2 4:49.6 5:3 6:0 7:1.0 8:1 9:50.0 10:0.0 11:0.0 12:0 13:1.0 14:0.9531 15:-10 16:41.8
1 -1 0:0.9614 1:3 2:51 3:1 4:106.0 5:3 6:1 7:2.0 8:0 9:43.8 10:2.963 11:12.233699999999999 12:28 13:0.6 14:1.2123 15:-10 16:148.0
1 1 0:1.115 1:4 2:85 3:1 4:37.2 5:4 6:0 7:1.0 8:0 9:43.8 10:0.0 11:0.0 12:0 13:0.8 14:1.3493 15:-10 16:69.0
1 -1 0:1.8928 1:4 2:85 3:4 4:144.9 5:4 6:3 7:5.0 8:2 9:45.0 10:12.1142 11:12.1142 12:19 13:0.8 14:2.2347 15:-10 16:159.0
1 1 0:1.3176 1:3 2:63 3:1 4:124.6 5:3 6:2 7:5.0 8:2 9:45.0 10:0.8108 11:0.8108 12:2 13:1.0 14:1.3176 15:-10 16:6.9
1 1 0:1.2632 1:2 2:70 3:0 4:67.0 5:2 6:0 7:1.0 8:0 9:43.8 10:0.0 11:0.0 12:0 13:1.0 14:1.2632 15:-10 16:99.0
